,ID,Verb,Embedding,Context,Target,target.LMEDS,MatrixOrComplement,CollapsedProminence,PredType,Answer
1,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,2
2,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,0
3,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,1
4,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,0
5,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,2
6,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,2
7,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,0
8,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,2
9,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,1
10,1,believe,conditional,"A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.",if you believed that that was really the proper response.,complAll,COMPLEMENT,Non-Factive,0
