"","ID","Verb","PredType","Embedding","Context","Target","target.LMEDS","Turk.MatrixOrComplement","CollapsedProminence","Mean","sd","variance"
"1",1,"believe","Non-Factive","conditional","A: Some of them did say that, you know, when they were the only one left opposing the verdict, uh, you know, everyone was getting on them so heavily that eventually they just gave in knowing that nothing they could do could stop it from either being the verdict everyone else was trying for or a hung jury because the one vote doesn't mean anything except the ability to not have a verdict. B: Yeah, I understand.","you would hope that if you were in that situation that you'd have the moral fortitude, uh, to hold out if you believed that that was really the proper response.","if you believed that that was really the proper response.","complAll","COMPLEMENT",1.08333333333333,0.90033663737852,0.810606060606061
"2",3,"think","Non-Factive","conditional","B: And, uh, I was ready to get rid of it two months after I bought it, A: Uh-huh. B: uh, so I shopped around,","and if I had thought I, uh, wanted to pay the amount of money, I probably would have gone with, uh, uh, an Accord or even a Civic, or something comparable from Nissan or Toyota.","if I had thought I, uh, wanted to pay the amount of money.","broad","BROAD",-1.66666666666667,1.73205080756888,3
"3",4,"know","Factive","conditional","B: So again, it never really penalizes, the company doing the wrong. A: Right. That will, B: They can go right on doing the same old thing they always used to. A: Huh. B:","And if they know some practice is wrong.","if they know some practice is wrong","matrixAll","MATRIX",1.625,1.18773493916542,1.41071428571429
"4",6,"foresee","Non-Factive","conditional","B: you know, sometimes I would go over, but you know, it wouldn't hit me in a big way because I knew that, uh, I would have it covered in that respect. A: Right.  Right. That's good. I don't think we've gone that far, to pay it you know, in advance before we spend it, ","but, I guess if you foresaw that you were gonna have to use it, like that, that may be good.","if you foresaw that you were gonna have to use it, like that.","broad","BROAD",0.555555555555556,1.33333333333333,1.77777777777778
"5",7,"think","Non-Factive","conditional","A: you can't get all of us. B: Uh-huh. A: Uh, and we're beginning to see more and more of that. B:","And that's a deterrent, too. If you think the home owner might be armed, right, and awake.","If you think the home owner might be armed, right, and awake.","complAll","COMPLEMENT",0.888888888888889,1.05409255338946,1.11111111111111
"6",8,"know","Factive","conditional","B: Yeah, but I'm not sure how successful that is. A: Well, I think it would be more successful if it was applied in a more expedient manner, if there weren't so many appeals. B: Quicker maybe,  yeah. A: Yeah,","if the person who's gonna commit the crime knew that they were gonna be punished severely, possibly capital punishment.","if the person who's gonna commit the crime knew that they were gonna be punished severely.","compl","COMPLEMENT",0.555555555555556,0.52704627669473,0.277777777777778
"7",9,"know","Factive","conditional","A: uh, you can do that which is what I choose to do. B: Yeah. One of the frustrating things about that is that you really are limited A: Yeah. B:","even if you know that the threat is there it's against the law to set traps.","even if you know that the threat is there.","matrix","MATRIX",1.375,1.18773493916542,1.41071428571429
"8",10,"know","Factive","conditional","B: Especially if they're found guilty of the crime. A: Uh-huh. B: You know, once they have been arrested","and if they know beyond a shadow of a doubt, these people are guilty.","if they know beyond a shadow of a doubt, these people are guilty.","broad","BROAD",1.53846153846154,1.26592420885458,1.6025641025641
"9",11,"feel","Non-Factive","conditional","B: Well, yeah, use that or, you know, there's other consequences rather than killing them, you know, you could, always make them the slave of the people they committed the crime against. A: Oh.  Huh-uh. B: You know. A: Yeah. B: At least they might get some benefit in that,","and if the people they committed a crime against, feel, at some later date, that these people have learned their lesson, are okay, you know, well, they can free them.","and if the people they committed a crime against, feel, at some later date, that these people have learned their lesson.","matrixAll","MATRIX",0.25,0.462910049886276,0.214285714285714
"10",12,"say","Non-Factive","conditional","B: And other than that I do not think it should be allowable. I think it should be illegal for them to want to do that. it's kind of the big brother syndrome, I mean, I just, anything like that just kind of scares me. A: I tend to view it, even though I don't think I'd work for a company that did that, I sort of want to defend an employer's rights uh, in addition to an individual's rights, but an employer, really, I think, has the right to hire someone on any basis they want to B: Right. A:","and if they say they don't want smokers, I sort of feel like an employer should have the right to decide whether they want to allow that.","and if they say they don't want smokers.","broad","BROAD",0.3,0.674948557710553,0.455555555555555
"11",14,"know","Factive","conditional","B: Then I have another daughter in, uh, Bountiful, Utah and she has to work full-time and it's just tearing her apart. She has a private baby-sitter. A: Yeah. B: And, uh, the baby just screams. I mean, the baby is like seventeen months and she just screams. A: Uh-huh. B:","Well even if she knows that they're fixing to get ready to go over there.","Even if she knows that they're fixing to get ready to go over there.","compl","COMPLEMENT",2.1,0.875595035770913,0.766666666666667
"12",15,"know","Factive","conditional","A: it's nice when it makes, a lot because you can feed your own family. And then, B: Yeah, because when I make this chicken casserole it makes a real big casserole and then another one that I freeze. A: Uh-huh. B:","or I give it to my Mom and Dad if I know we're not going to eat.","if I know we're not going to eat.","broad","BROAD",0.666666666666667,1.11803398874989,1.25
"13",16,"think","Non-Factive","conditional question","B: anybody tries to hurt them I won't even blink, A: I know,  No. I understand that.","uh, what if you think someone's trying to hurt them and you make a mistake?","what if you think someone's trying to hurt them and you make a mistake?","broad","BROAD",-0.8,1.47572957474524,2.17777777777778
"14",18,"see","Factive","modal","B: Yeah, hormones, but yeah, uh, steroids. But, I stay from that crap. A: Yeah, it's too dangerous. B:","Oh, I could just see hair start growing out of my upper lip or something.","I could just see hair start growing out of my upper lip or something.","matrix","MATRIX",0.545454545454545,1.50755672288882,2.27272727272727
"15",19,"say","Non-Factive","modal","A: I am right outside Baltimore. I am less than a mile from the Baltimore line. B: Um. A: And I go to a campus of the University of Maryland that is just, less than a mile from my house. So I'm actually in Baltimore, yeah,","you could say I'm in Baltimore.","you could say I'm in Baltimore.","broad","BROAD",2,0.738548945875996,0.545454545454545
"16",20,"think","Non-Factive","modal","A: That is the way to do it. I mean, and that's, you know, at least the Air Force is, I do not know, uh, I am nervous in Dallas. I mean, you know, I mean, I go to like an aerobics class or something. And, you know, uh, seventy women in a Jazzercise class in a public, uh, parks and rec building. And you are supposed to feel safe, but then there are all these, does not matter race, but, you know, it is an inter racial mix. And you see these guys standing there watching you jump around in your leotards. B: Yeah. A: And I do not even think that way, but I mean, you just think to yourself, you just, I mean,","nobody can think that it can't happen to them.","nobody can think that it can't happen to them.","complAll","COMPLEMENT",-1.90909090909091,1.57826141399614,2.49090909090909
"17",21,"say","Non-Factive","modal","B: Uh, yes. Well, they find it is more deterrent. A: Well, my sociology class at S M U's taught us that it was not a deterrent. Uh, but now that's just what they said. Uh, I don't know","maybe if I went back and took a sociology class now they'd say it is a deterrent.","maybe if I went back and took a sociology class now they'd say it is a deterrent.","broad","BROAD",0,0,0
"18",22,"swear","Non-Factive","modal","A: They might be, but not at the human factors level. they're, B: Well, I heard it on the news today,","I could swear it was IBM.","I could swear it was IBM.","matrix","MATRIX",2.375,0.517549169506766,0.267857142857143
"19",24,"see","Factive","modal","B: I'm not sure I want an eighteen year old to make that kind of decision. Uh, I mean, that doesn't sound right. Um, I guess I see overall beneficial, if we're going from that point of view. A: Uh-huh. B: Um. you know, in the past, I don't know how old you are, but when I was, uh, in high school, it was the beginning of Vietnam and so forth. And many of my peers were being drafted. A: Uh-huh. B:","And I could see that many of them had conscientious objections to war or whatever.","I could see that many of them had conscientious objections to war or whatever.","compl","COMPLEMENT",2.22222222222222,1.98606254796883,3.94444444444444
"20",25,"say","Non-Factive","modal","A: I got a friend who goes there, by the way. I want to talk to you about that afterward, okay. B: Okay. Uh, I've, the high school I went to uh, was a good one also.","And well, I guess you could say one of the problems with the public education system is the disparity between different schools.","You could say one of the problems with the public education system is the disparity between different schools.","complAll","COMPLEMENT",2.2,0.918936583472681,0.844444444444444
"21",26,"say","Non-Factive","modal","B: Right. And they repacked the wheel bearings. A: and they repacked the the wheel bearings. Yeah but, uh, I've had considerable experience.","you might say I'm, uh, uh, good back yard mechanic.","you might say I'm, uh, uh, good back yard mechanic.","compl","COMPLEMENT",1.83333333333333,0.717740562565273,0.515151515151515
"22",27,"say","Non-Factive","modal","B: I mean it was like you can't have, you know, such and such facial hair, no beards, you know, and just really detailed. A: I don't know that that would be a good environment to work in. I mean, I see, I am more, I don't know about anybody else,","and a lot of bosses may say I'm nuts.","a lot of bosses may say I'm nuts.","broad","BROAD",0.3,1.33749350984926,1.78888888888889
"23",28,"find","Factive","modal","B: Might be worth it for peace of mind. A: Oh, yeah. It is, it is.","You might even find somebody's been reporting on you.","You might even find somebody's been reporting on you.","broad","BROAD",1,1,1
"24",30,"think","Non-Factive","modal","B: That's what I've heard too. Uh, A: It seems bizarre to me.","I don't quite understand it, although I think probably the worst thing that's happening in the world, at least the modern world today, is television.","I think probably the worst thing that's happening in the world, at least the modern world today, is television.","compl","COMPLEMENT",2.18181818181818,0.750757193529548,0.563636363636364
"25",31,"tell","Non-Factive","modal","A: And, with just a curtain, of course, between us and, uh, B: Right. A: they revived the man and cleared out his airway and so forth, and he was definitely,","just by looking at him and the way he acted, you could tell he was in need of nursing home care.","you could tell he was in need of nursing home care.","complAll","COMPLEMENT",3,0,0
"26",35,"say","Non-Factive","modal","B: I look at our big green containers, and I say, well, they work fine and I keep mine outside the garage so that I don't have any odors but it's clearly a place where, uh, uh, A: Oh, right. B: it will be interesting to see how well that works and I'm glad the community is doing it. Uh, it's one of those things that kind of has to be forced on people. Uh, I don't know what you saw back, uh, years ago,","you could say we had the recycling going on then that we should have now. Which was all the milk bottles were glass.","you could say we had the recycling going on then that we should have now.","compl","COMPLEMENT",1.91666666666667,1.67648622440092,2.81060606060606
"27",38,"think","Non-Factive","modal","B: That's right. A: Well, that's fun. So, um, let's see, uh, some of the things we do together as a family, we like to play games a lot,","and you may think this is funny.","you may think this is funny.","broad","BROAD",0.555555555555556,1.0137937550497,1.02777777777778
"28",40,"guarantee","Non-Factive","modal negation","A: And you also get a lot of, uh, juries are extremely, uh, and from what I hear, I have some friends who do expert witness testimony and they say that, uh, juries are extremely vulnerable to, uh, sort of emotional pitches, you know, the prosecutor will want to, oh, I don't know show the mugging victim, you know, show the nice person he was and what a family life, and basically get the jury to be very sympathetic with the victim, or, uh, if it's a corporation, that was, uh, you know, harming some individual or something like that, they get very much, well, you know, it's just a big faceless corporation. let's make them pay as much as possible. Things like that. B: Uh-huh. A: So, not, I mean, I'm,","the problem is I can't guarantee that a judge would necessarily be much better than a jury.","I can't guarantee that a judge would necessarily be much better than a jury.","complAll","COMPLEMENT",-1,1.34164078649987,1.8
"29",41,"guarantee","Non-Factive","modal negation","B: I think for serial murder it is warranted because if a person who would do something like that in cold blood, A: Uh-huh.  Uh-huh.  Needs to be punished or, uh, eliminated from society. B:","I mean, you can't guarantee that they wouldn't escape from prison and do it again.","you can't guarantee that they wouldn't escape from prison and do it again.","matrix","MATRIX",-0.888888888888889,1.36422546197874,1.86111111111111
"30",42,"believe","Non-Factive","modal negation","A: I thought Carter was good too, and that was, yeah, B: Did you? I always liked him, I thought he was great at the time and I just couldn't get over the fact that Reagan beat him.","you know, that I just couldn't believe that he got voted out.","I just couldn't believe that he got voted out.","matrix","MATRIX",2,1.77281052085584,3.14285714285714
